Unnamed: 0,Title,Year,imdbID,Type,Poster
932,Avengers Endgame: the Butt Plan,2019,tt10399328,movie,https://m.media-amazon.com/images/M/MV5BNTQ1OWQzODktMTY3Zi00OTQxLWExOTYtZTNjZjY5ZTY4M2UyXkEyXkFqcGdeQXVyMTAzMzk0NjAy._V1_SX300.jpg
2,The Shawshank Redemption: Behind the Scenes,2004,tt5443386,movie,
154,Gladiator,1992,tt0104346,movie,https://m.media-amazon.com/images/M/MV5BMDQwYjgzYTgtMDBhNi00ZmZiLTg4NTQtMGRiZDA2ODE5NjBlXkEyXkFqcGc@._V1_SX300.jpg
707,Demi Lovato: La La Land,2008,tt6972576,movie,https://m.media-amazon.com/images/M/MV5BMjNjNzYzNmYtZGQ4NC00NTM5LTk4YTAtNDY3ODRkNzYzMDA1XkEyXkFqcGdeQXVyMjgzMzAzMjE@._V1_SX300.jpg
832,Interstellar,2005,tt0758429,movie,https://m.media-amazon.com/images/M/MV5BMTgyNzUyMTQ3OV5BMl5BanBnXkFtZTgwNDg0OTE2MzE@._V1_SX300.jpg
626,The Matrix Revolutions: Super Big Mini Models,2004,tt5325338,movie,https://m.media-amazon.com/images/M/MV5BMWJiYjI5OGUtYTEyNC00MmI5LWJjYzMtYTAwNzFmMmJmODBmXkEyXkFqcGdeQXVyODA1NjQ0OTY@._V1_SX300.jpg
18,Inception: Jump Right Into the Action,2010,tt5295990,movie,https://m.media-amazon.com/images/M/MV5BZGFjOTRiYjgtYjEzMS00ZjQ2LTkzY2YtOGQ0NDI2NTVjOGFmXkEyXkFqcGdeQXVyNDQ5MDYzMTk@._V1_SX300.jpg
462,Jurassic Park III,2001,tt0163025,movie,https://m.media-amazon.com/images/M/MV5BN2FmMjhlZDYtNmYyMy00NTdjLTlhYzYtZWNlMDY2MmUzOGM2XkEyXkFqcGc@._V1_SX300.jpg
156,Gladiator Cop,1995,tt0109905,movie,https://m.media-amazon.com/images/M/MV5BN2M3MmZlYTYtZDQ4Yy00NWU1LTg3ZmMtNGUyMDEwMGJhMmM0XkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_SX300.jpg
420,Memento,2000,tt0209144,movie,https://m.media-amazon.com/images/M/MV5BYmQ3MjliNjAtNWFiZS00YWI1LTlmZTktMzBiNDE1NjRhZjU0XkEyXkFqcGc@._V1_SX300.jpg
643,Lise/Amélie,2013,tt4649964,movie,https://m.media-amazon.com/images/M/MV5BYjg2ODU3MDUtOTcxMy00YzhhLTkwNDMtZDQ5N2JhYzAzM2NkXkEyXkFqcGdeQXVyNjM5NzE1MTM@._V1_SX300.jpg
122,"The Good, the Bad, and the Ugly: Kickass Promo",2023,tt30629414,movie,https://m.media-amazon.com/images/M/MV5BMTg2YmVlYmItZGJhZS00MTJlLTg0MmUtNTY1NTcxZjQwOWFmXkEyXkFqcGdeQXVyMTM1MzQyMTU3._V1_SX300.jpg
452,The Wednesday Morning Breakfast Club,2013,tt2361026,movie,https://m.media-amazon.com/images/M/MV5BMTYxNjI2NjU2NV5BMl5BanBnXkFtZTgwMjgyMzczMDE@._V1_SX300.jpg
267,Made Men: The 'GoodFellas' Legacy,2004,tt0415136,movie,
699,Going Down in LA-LA Land,2011,tt1599296,movie,https://m.media-amazon.com/images/M/MV5BMTQwNjEzNTI0MV5BMl5BanBnXkFtZTcwMzI2MzY5Ng@@._V1_SX300.jpg
1098,The Witch,2015,tt4263482,movie,https://m.media-amazon.com/images/M/MV5BMTUyNzkwMzAxOF5BMl5BanBnXkFtZTgwMzc1OTk1NjE@._V1_SX300.jpg
252,Summer of the Usual Suspects,2019,tt10615210,movie,
388,Whiplash,1960–1961,tt0054577,series,https://m.media-amazon.com/images/M/MV5BNGY5OWMxODctODkzZS00ZDU3LTkxZGQtZmM5NDUwYmY4ZGZhXkEyXkFqcGdeQXVyMjI2ODEyMQ@@._V1_SX300.jpg
763,Toy Story Toons: Partysaurus Rex,2012,tt2340678,movie,https://m.media-amazon.com/images/M/MV5BMjM5MDA3ODU4Nl5BMl5BanBnXkFtZTgwMTYzMDgwMjE@._V1_SX300.jpg
1130,Psycho,1998,tt0155975,movie,https://m.media-amazon.com/images/M/MV5BZDlhYjllMzMtZDA3Ni00NmRmLWFkOTgtNjk4OGQ5YzNlMzRhXkEyXkFqcGc@._V1_SX300.jpg
44,Jamie & Jimmy's Food Fight Club,2012,tt4410492,series,https://m.media-amazon.com/images/M/MV5BMTFhNDI3OGEtMjRkMC00MWY5LWE3ZTctNzE0MmUxZDA2MDUyXkEyXkFqcGc@._V1_SX300.jpg
836,Shutter Island (2010),2010,tt24735296,movie,https://m.media-amazon.com/images/M/MV5BZmJlNzYxMmMtMzQ2YS00NTM5LWJjMjYtMzRmY2NhNDZkMjE1XkEyXkFqcGdeQXVyNjc5Mjg4Nzc@._V1_SX300.jpg
99,The Dark Knight Rises T4 Premiere Special,2012,tt2281718,movie,https://m.media-amazon.com/images/M/MV5BYTFlZjI0YWEtMzdkYi00MTI2LWFmYjItYTYxODY2NzExMjAxXkEyXkFqcGdeQXVyMTg1MDU0MQ@@._V1_SX300.jpg
1016,Ant-Man: Let's Go to the Macroverse,2015,tt5284380,movie,https://m.media-amazon.com/images/M/MV5BYjJiYzllOWMtMzU1My00N2E1LTg5ZmQtYWRmOWQ0ZjkzZmFiXkEyXkFqcGdeQXVyMTIxMDUyOTI@._V1_SX300.jpg
587,The Hunger Games: Poseidon's Son,2012,tt2427488,movie,
106,12 Angry Men,1957,tt0050083,movie,https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_SX300.jpg
814,A Star Is Born,1954,tt0047522,movie,https://m.media-amazon.com/images/M/MV5BNWZlNTI0ZGUtNzhlNy00OWUzLTgxMzEtNjRlYmQ1OWQyZDdmXkEyXkFqcGc@._V1_SX300.jpg
605,Dark Side of the Ring,2019–,tt9159144,series,https://m.media-amazon.com/images/M/MV5BNTkyMTk0M2UtMmRjNC00YjYxLWJhOGMtMzFmYjQ4OGZmOGUzXkEyXkFqcGc@._V1_SX300.jpg
533,Afternoon Affair: Rear Window,1972,tt0285187,movie,https://m.media-amazon.com/images/M/MV5BNzQ4ZDJjNmQtM2I5Ny00OGIwLWE4NWEtODk1YWViYmRkZDdmXkEyXkFqcGc@._V1_SX300.jpg
369,Se7en Dayz Till Payoff,2018,tt10406384,movie,https://m.media-amazon.com/images/M/MV5BZmNhYzlkMjMtOTNjMC00NWU3LWIxMmUtNmEwZGViZjc3MjQxXkEyXkFqcGdeQXVyNjk3ODIxMjc@._V1_SX300.jpg
